word,reading,meaning,category,part_of_speech,example_sentence,example_translation,kanji_breakdown,synonyms
懐かしい,なつかしい,"hoài niệm, hoài nhớ, gợi nhớ, quen thuộc",mimikaraoboeru,Tính từ đuôi い,子供（こども）のころが懐（なつ）かしい。,Nhớ thời còn trẻ con.,"懐 (かい) - lòng, ngực, ôm ấp. Bao gồm: 忄(tâm) bên trái + 衣 (áo) bên phải - tượng trưng cho việc ôm ấp, giữ gìn kỷ niệm trong lòng.",懐かしさ（なつかしさ）: cảm giác hoài niệm、懐かしむ（なつかしむ）: hoài niệm về
幼い,おさない,"non nớt, bé, ấu trĩ, thiếu trưởng thành",mimikaraoboeru,Tính từ đuôi い,幼（おさな）い子供（こども）が遊（あそ）んでいる。,Những đứa trẻ đang chơi.,"幼 (よう) - nhỏ, ấu. Bao gồm: 幺 (nhỏ) + 力 (sức lực) - ám chỉ người còn nhỏ, sức yếu, chưa phát triển đầy đủ.",幼さ（おさなさ）: sự non nớt、幼友達（おさなともだち）: bạn từ thuở nhỏ
心細い,こころぼそい,"cô đơn, lo lắng, bất an, không chắc chắn",mimikaraoboeru,Tính từ đuôi い,始（はじ）めて来日（らいにち）した時（とき）は、言葉（ことば）もわからず知（し）り合（あ）いもなく、とても心細（こころぼそ）かった。,"Lúc mới sang Nhật, không hiểu tiếng, bạn bè cũng không có thật cô đơn.","心 (しん) - tâm, lòng; 細 (さい) - mảnh, nhỏ, tỉ mỉ. Kết hợp: tâm trạng thu nhỏ lại, co rút lại vì lo lắng hoặc cô đơn.","心細さ（こころぼそさ）: cảm giác bất an, lo lắng"
可哀想な,かわいそうな,"tội nghiệp, đáng thương, tội nghiệp",mimikaraoboeru,Tính từ đuôi な,子供（こども）を叱（しか）ったが、泣（な）いているのを見（み）てかわいそうになった。,"Mặc dù mắng con, nhưng thấy nó khóc lại thấy tội nghiệp.","可 (か) - có thể; 哀 (あい) - buồn bã, thương xót; 想 (そう) - nghĩ, tưởng tượng. Kết hợp: sự đồng cảm với nỗi buồn, khổ đau của người khác.",かわいそうに: tội nghiệp thay、かわいそうがる: cảm thấy thương xót
気の毒な,きのどくな,"đáng tiếc, đáng thương, tội nghiệp",mimikaraoboeru,Tính từ đuôi な,彼女（かのじょ）、先日（せんじつ）お父（とう）さんを事故（じこ）で亡（な）くされたそうだよ。お気（き）の毒（どく）に…,Nghe nói bố cô ấy bị tai nạn giao thông đã qua đời hôm trước rồi. Thật đáng thương…,"気 (き) - khí, tinh thần; 毒 (どく) - độc. Kết hợp: tâm trạng đau đớn, khó chịu khi gặp chuyện không may hoặc đồng cảm với nỗi đau của người khác.",お気の毒に: xin chia buồn、気の毒がる: cảm thấy thương cảm
貧しい,まずしい,"nghèo, nghèo nàn, thiếu thốn",mimikaraoboeru,Tính từ đuôi い,私（わたし）は貧（まず）しい家（いえ）に育（そだ）った。,Tôi được nuôi dưỡng trong gia đình nghèo.,"貧 (ひん) - nghèo. Bao gồm: 分 (chia, phần) + 貝 (tiền cổ) - hình ảnh của tiền bạc đã bị phân tán, dẫn đến sự nghèo khó.",貧しさ（まずしさ）: sự nghèo khó、心が貧しい（こころがまずしい）: tâm hồn nghèo nàn
惜しい,おしい,"đáng tiếc, tiếc nuối, quý giá",mimikaraoboeru,Tính từ đuôi い,後（あと）一（ひと）つ問題（もんだい）ができていれば合格（ごうかく）だったのに。惜（お）しかった。,Chỉ cần thêm một câu nữa là đậu rồi mà lại… tiếc quá đi.,"惜 (せき) - tiếc. Bao gồm: 忄(tâm) bên trái + 昔 (quá khứ, xưa) bên phải - sự tiếc nuối, lưu luyến trong lòng về điều gì đó sắp mất hoặc đã mất.",惜しさ（おしさ）: sự tiếc nuối、惜しくも（おしくも）: đáng tiếc thay
仕方(が)ない,しかたがない,"vô phương, bó tay, không còn cách nào khác, đành phải",mimikaraoboeru,Biểu hiện,借金（しゃっきん）を返（かえ）すには、休日（きゅうじつ）も働（はたら）くよりほかに仕方（しかた）ない。,"Để trả tiền vay, không còn cách nào khác là đi làm dù ngày nghỉ.","仕 (し) - phục vụ, làm; 方 (かた) - phương hướng, cách thức. Kết hợp lại: khi không còn cách thức nào để làm, ta phải chấp nhận.",仕方なく（しかたなく）: đành phải、仕方なさ（しかたなさ）: sự bất lực
止むを得ない,やむをえない,"không tránh khỏi, bất đắc dĩ, đành phải",mimikaraoboeru,Biểu hiện,この嵐（あらし）では休校（きゅうこう）もやむを得（え）ない。,Cơn bão thế này thì không còn cách nào là phải nghỉ học thôi.,"止 (とど) - dừng lại; 得 (とく) - đạt được. Kết hợp: điều không thể dừng lại được, phải chấp nhận mà không thể tránh né.",やむを得ず: đành phải、やむにやまれぬ: không thể tránh khỏi
面倒臭い,めんどうくさい,"phiền toái, rắc rối, lôi thôi, phức tạp",mimikaraoboeru,Tính từ đuôi い,ゴミの分別（ぶんべつ）は面倒（めんどう）くさいが、環境（かんきょう）のためには仕方（しかた）ない。,Phân loại rác thật rắc rối nhưng vì môi trường nên không còn cách nào khác.,"面 (めん) - mặt; 倒 (とう) - đổ, ngã; 臭 (しゅう) - mùi hôi. Kết hợp: việc làm mất thời gian và công sức, khiến ta cảm thấy không muốn làm.",面倒くささ（めんどうくささ）: sự phiền toái、面倒臭がる（めんどうくさがる）: cảm thấy phiền
しつこい,しつこい,"lằng nhằng, dai dẳng, nặng mùi, đậm vị",mimikaraoboeru,Tính từ đuôi い,店（みせ）に店員（てんいん）にしつこく進（すす）められて困（こま）った。,"Ở cửa hàng, nhân viên cứ giới thiệu mãi thật là rắc rối.","Không có kanji cụ thể, nhưng có thể liên hệ với 執拗 (しつよう) - sự cố chấp, dai dẳng để dễ nhớ.",しつこさ: sự dai dẳng、しつこく: một cách dai dẳng
諄い,くどい,"dài dòng, lắm lời, nặng mùi, đậm đà",mimikaraoboeru,Tính từ đuôi い,あの先生（せんせい）の注意（ちゅうい）はいつもくどくてうんざりする。,Nhắc nhở của cô giáo lúc nào cũng dài dòng thật là chán.,"諄 (しゅん) - dạy bảo, nhắc đi nhắc lại. Bao gồm: 言 (ngôn) - lời nói + 享 (hưởng) - thụ hưởng. Kết hợp: lời nói lặp đi lặp lại khiến người nghe mệt mỏi.",くどさ: sự dài dòng、くどく: một cách dài dòng
煙い,けむい,"khói, đầy khói, nhiều khói",mimikaraoboeru,Tính từ đuôi い,煙（けむ）いと思（おも）ったら、魚（さかな）が焦（こ）げていた。,Tưởng là khói ai ngờ cá cháy.,煙 (えん) - khói. Bao gồm: 火 (hỏa) - lửa + 因 (nhân) - nguyên nhân. Kết hợp: khói sinh ra từ lửa.,煙さ（けむさ）: độ khói、煙る（けむる）: bốc khói
邪魔な,じゃまな,"vướng víu, cản trở, làm phiền",mimikaraoboeru,Tính từ đuôi な,仕事（しごと）をするため、まず机（つくえ）の上（うえ）の邪魔（じゃま）な物（もの）を片付（かたづ）けた。,Để làm công việc nên tôi dẹp những thứ vướng víu trên bàn.,"邪 (じゃ) - tà, xấu xa; 魔 (ま) - ma quỷ, yêu quái. Kết hợp: những thứ xấu xa gây cản trở như ma quỷ.",邪魔者（じゃまもの）: kẻ làm phiền、邪魔になる（じゃまになる）: trở thành vật cản
うるさい,うるさい,"ồn ào, om sòm, khó tính, kén chọn",mimikaraoboeru,Tính từ đuôi い,テレビの音（おと）がうるさいから、ちょっと小（ちい）さくして。,Âm thanh tivi ồn ào nên vặn nhỏ chút đi.,"Thường viết bằng hiragana nhưng có thể viết là 煩い hoặc 五月蝿い. Kanji 煩 (phiền) liên quan đến sự phiền toái, khó chịu.",うるささ: sự ồn ào、うるさ型（うるさがた）: người khó tính
騒々しい,そうぞうしい,"ồn ào, náo nhiệt, sôi nổi",mimikaraoboeru,Tính từ đuôi い,先生（せんせい）が怒（おこ）ったら、騒々（そうぞう）しかった教室（きょうしつ）は静（しず）かになった。,"Sau khi cô giáo tức giận lên, lớp ồn ào trở nên im bặt.","騒 (そう) - ồn ào, náo động. Bao gồm: 馬 (mã) - ngựa + 㚒 - âm thanh. Lặp lại thành 騒々 để nhấn mạnh sự ồn ào cực độ.",騒々しさ（そうぞうしさ）: sự ồn ào、騒々しく（そうぞうしく）: một cách ồn ào
慌ただしい,あわただしい,"bận rộn, vội vàng, hối hả",mimikaraoboeru,Tính từ đuôi い,今日（きょう）は急（きゅう）な用事（ようじ）や来客（らいきゃく）が重（かさ）なって、慌（あわ）ただしい一日（いちにち）だった。,Hôm nay vừa có việc gấp vừa trùng lịch khách đến thăm thật là một ngày bận rộn.,"慌 (こう) - hoảng hốt, vội vàng. Bao gồm: 忄(tâm) + 荒 (hoang) - tâm trạng bối rối, hoảng loạn khi phải làm nhiều việc.",慌ただしさ（あわただしさ）: sự bận rộn、慌ただしく（あわただしく）: một cách vội vàng
そそっかしい,そそっかしい,"vô tâm, không để ý, vội vàng, hấp tấp",mimikaraoboeru,Tính từ đuôi い,片方（かたほう）ずつ違（ちが）った靴下（くつした）をはくなんて、そそっかしい人（ひと）だ。,"Mang mỗi bên mỗi chiếc tất khác nhau, thật là người lơ đễnh mà.","Không có kanji cụ thể, thường viết bằng hiragana. Có thể liên hệ với từ 粗相 (そそう - sơ suất) để dễ nhớ.",そそっかしさ: sự vô tâm、そそっかしく: một cách vội vàng
思いがけない,おもいがけない,"không ngờ đến, bất ngờ, ngoài dự đoán",mimikaraoboeru,Tính từ đuôi い,道（みち）で思（おも）いがけない人（ひと）に会（あ）った。,Trên đường tôi đã gặp người không ngờ đến.,"思 (し) - nghĩ; 掛 (か) - treo, đặt lên. Kết hợp: điều không được đặt trong suy nghĩ, không được dự đoán trước.",思いがけなさ（おもいがけなさ）: sự bất ngờ、思いがけず（おもいがけず）: bất ngờ
観測,かんそく,sự quan trắc; sự quan sát; sự đo đạc,mimikaraoboeru,Danh từ / Động từ する,地震（じしん）の15分（ふん）後（あと）に、高（たか）さ30センチの津波（つなみ）が観測（かんそく）された。,"Sau trận động đất 15 phút, có thể quan sát thấy chiều cao của sóng thần là 30cm.","観 (quan) - nhìn, quan sát; 測 (trắc) - đo đạc, đo lường. Kết hợp lại: quan sát và đo lường các hiện tượng.",観測所（かんそくじょ）: trạm quan trắc、天体観測（てんたいかんそく）: quan sát thiên văn、気象観測（きしょうかんそく）: quan trắc khí tượng
遭難,そうなん,"thảm họa, tai nạn (nhất là ở biển hoặc núi)",mimikaraoboeru,Danh từ / Động từ する,山（やま）で遭難（そうなん）した登山者（とざんしゃ）が無事（ぶじ）に救助（きゅうじょ）された。,Người leo núi gặp nạn đã được cứu hộ an toàn.,"遭 (tao) - gặp phải, chạm trán; 難 (nan/nạn) - khó khăn, nguy hiểm, tai họa. Kết hợp lại: tình huống gặp phải nguy hiểm hay thảm họa ngoài ý muốn.",遭難者（そうなんしゃ）: người gặp nạn、遭難事故（そうなんじこ）: tai nạn thảm khốc、遭難救助（そうなんきゅうじょ）: cứu hộ người gặp nạn
発生,はっせい,"phát sinh, xảy ra",mimikaraoboeru,Danh từ / Động từ する,事故（じこ）が発生（はっせい）し、電車（でんしゃ）がストップした。,"Xảy ra sự cố, tàu điện đã dừng lại.","発 (phát) - phát ra, bắt đầu; 生 (sinh) - sinh ra, sống. Kết hợp lại: sự phát sinh, bắt đầu xuất hiện.",発生源（はっせいげん）: nguồn phát sinh、事故発生（じこはっせい）: xảy ra sự cố、突発的発生（とっぱてきはっせい）: phát sinh đột ngột
登場,とうじょう,"lối vào, sự xuất hiện (trên màn ảnh, sân khấu)",mimikaraoboeru,Danh từ / Động từ する,舞台（ぶたい）に俳優（はいゆう）が登場（とうじょう）する。,Diễn viên xuất hiện trên sân khấu.,"登 (đăng) - leo lên, đi lên; 場 (trường) - nơi chốn, sân khấu. Kết hợp lại: việc đi lên sân khấu, xuất hiện trước công chúng.",登場人物（とうじょうじんぶつ）: nhân vật xuất hiện、初登場（はつとうじょう）: lần đầu xuất hiện、華々しい登場（はなばなしいとうじょう）: sự xuất hiện rực rỡ
回復,かいふく,"hồi phục, phục hồi",mimikaraoboeru,Danh từ / Động từ する,経済（けいざい）状況（じょうきょう）が回復（かいふく）する。,Tình hình kinh tế hồi phục.,"回 (hồi) - quay về, vòng; 復 (phục) - trở lại, phục hồi. Kết hợp lại: quay trở về trạng thái ban đầu, phục hồi như cũ.",回復力（かいふくりょく）: sức phục hồi、疲労回復（ひろうかいふく）: hồi phục mệt mỏi、機能回復（きのうかいふく）: phục hồi chức năng
援助,えんじょ,"viện trợ, giúp đỡ",mimikaraoboeru,Danh từ / Động từ する,親戚（しんせき）の援助（えんじょ）で学校（がっこう）を卒業（そつぎょう）できた。,Nhờ sự giúp đỡ của người thân nên tôi đã có thể tốt nghiệp đại học.,"援 (viện) - kéo, giúp đỡ; 助 (trợ) - giúp đỡ, trợ giúp. Kết hợp lại: sự hỗ trợ, giúp đỡ từ bên ngoài.",経済援助（けいざいえんじょ）: viện trợ kinh tế、技術援助（ぎじゅつえんじょ）: hỗ trợ kỹ thuật、援助金（えんじょきん）: tiền viện trợ
保険,ほけん,bảo hiểm,mimikaraoboeru,Danh từ,子供（こども）が生（う）まれたので、生命（せいめい）保険（ほけん）に入（はい）った。,Vì sinh con nên tôi đã tham gia bảo hiểm nhân thọ.,"保 (bảo) - bảo vệ, giữ gìn; 険 (hiểm) - nguy hiểm, hiểm trở. Kết hợp lại: phương tiện để bảo vệ chống lại những rủi ro, nguy hiểm.",生命保険（せいめいほけん）: bảo hiểm nhân thọ、自動車保険（じどうしゃほけん）: bảo hiểm ô tô、医療保険（いりょうほけん）: bảo hiểm y tế
追加,ついか,"thêm vào, bổ sung",mimikaraoboeru,Danh từ / Động từ する,飲（の）み会（かい）でビールを追加（ついか）する。,Gọi thêm bia ở bữa tiệc.,"追 (truy) - đuổi theo, thêm vào; 加 (gia) - thêm vào, bổ sung. Kết hợp lại: thêm vào những gì đã có sẵn.",追加料金（ついかりょうきん）: phí bổ sung、追加注文（ついかちゅうもん）: đặt hàng bổ sung、追加機能（ついかきのう）: chức năng bổ sung
応用,おうよう,"ứng dụng, áp dụng",mimikaraoboeru,Danh từ / Động từ する,この技術（ぎじゅつ）はいろいろな機械（きかい）に応用（おうよう）できる。,Kĩ thuật này có thể áp dụng cho rất nhiều loại máy móc.,"応 (ứng) - đáp ứng, phản ứng; 用 (dụng) - sử dụng, ứng dụng. Kết hợp lại: việc đáp ứng nhu cầu bằng cách sử dụng kiến thức, kỹ thuật.",応用力（おうようりょく）: khả năng ứng dụng、応用問題（おうようもんだい）: bài tập ứng dụng、応用科学（おうようかがく）: khoa học ứng dụng
解答,かいとう,"giải đáp, trả lời",mimikaraoboeru,Danh từ / Động từ する,10問（とい）のうち5問（とい）解答（かいとう）できないと失格（しっかく）になります。,Nếu không trả lời được 5 trên 10 câu hỏi thì sẽ bị trượt.,"解 (giải) - giải quyết, hiểu; 答 (đáp) - trả lời, đáp lại. Kết hợp lại: việc đưa ra câu trả lời để giải quyết vấn đề hay câu hỏi.",模範解答（もはんかいとう）: đáp án mẫu、解答用紙（かいとうようし）: giấy trả lời、解答集（かいとうしゅう）: tập đáp án
結論,けつろん,kết luận,mimikaraoboeru,Danh từ,3時間（じかん）議論（ぎろん）しても、結論（けつろん）は出（で）なかった。,Dù mất 3 tiếng thảo luận nhưng vẫn chưa đưa ra được kết luận.,"結 (kết) - kết lại, buộc lại; 論 (luận) - bàn luận, thảo luận. Kết hợp lại: điểm cuối cùng sau khi thảo luận, tóm tắt lại vấn đề.",最終結論（さいしゅうけつろん）: kết luận cuối cùng、結論部分（けつろんぶぶん）: phần kết luận、結論づける（けつろんづける）: đi đến kết luận
案,あん,"kế hoạch, ý tưởng, đề xuất",mimikaraoboeru,Danh từ,新製品（しんせいひん）について、案（あん）を出（だ）すように言（い）われた。,Tôi được yêu cầu đưa ra kế hoạch về sản phẩm mới.,"案 - ý tưởng, kế hoạch. Bao gồm phần trên 安 (an) là bình an, ổn định và phần dưới 木 (mộc) là cây. Ám chỉ một ý tưởng được ghi lại trên bàn gỗ.",予算案（よさんあん）: dự thảo ngân sách、原案（げんあん）: bản thảo gốc、企画案（きかくあん）: kế hoạch dự án
集中,しゅうちゅう,tập trung,mimikaraoboeru,Danh từ / Động từ する,人口（じんこう）は大都市（だいとし）に集中（しゅうちゅう）している。,Dân số tập trung ở các thành phố lớn.,"集 (tập) - tụ tập, gom lại; 中 (trung) - giữa, trung tâm. Kết hợp lại: gom nhiều thứ vào một trung tâm, tập trung vào một điểm.",集中力（しゅうちゅうりょく）: khả năng tập trung、集中豪雨（しゅうちゅうごうう）: mưa lớn tập trung、集中治療（しゅうちゅうちりょう）: điều trị tích cực
区別,くべつ,phân biệt,mimikaraoboeru,Danh từ / Động từ する,レポートを書（か）くときは、事実（じじつ）と意見（いけん）を区別（くべつ）して書（か）かなければならない。,Khi viết báo cáo cần phân biệt rõ ràng sự thực và ý kiến cá nhân.,"区 (khu) - khu vực, phân chia; 別 (biệt) - tách riêng, chia ra. Kết hợp lại: phân chia thành các phần riêng biệt, tách biệt để nhận biết sự khác nhau.",区別化（くべつか）: sự khác biệt hóa、無区別（むくべつ）: không phân biệt、色彩区別（しきさいくべつ）: phân biệt màu sắc
差別,さべつ,"phân biệt đối xử, kỳ thị",mimikaraoboeru,Danh từ / Động từ する,差別（さべつ）のない社会（しゃかい）を作（つく）りたい。,Tôi muốn xây dựng một xã hội không phân biệt chủng tộc.,"差 (sai) - khác biệt, chênh lệch; 別 (biệt) - tách riêng, chia ra. Kết hợp lại: tạo ra sự phân chia dựa trên sự khác biệt, dẫn đến đối xử không bình đẳng.",人種差別（じんしゅさべつ）: phân biệt chủng tộc、男女差別（だんじょさべつ）: phân biệt giới tính、差別化（さべつか）: sự khác biệt hóa
中間,ちゅうかん,"ở giữa, trung gian",mimikaraoboeru,Danh từ,名古屋（なごや）は東京（とうきょう）と大阪（おおさか）の中間（ちゅうかん）にある。,Nagoya ở giữa Tokyo và Osaka.,"中 (trung) - giữa, trong; 間 (gian) - khoảng, không gian, thời gian. Kết hợp lại: vị trí hay thời điểm nằm ở giữa hai điểm hoặc hai thời điểm.",中間試験（ちゅうかんしけん）: kỳ thi giữa kỳ、中間報告（ちゅうかんほうこく）: báo cáo giữa kỳ、中間管理職（ちゅうかんかんりしょく）: quản lý cấp trung
逆,ぎゃく,"ngược lại, trái ngược",mimikaraoboeru,Danh từ / Tính từ な,鏡（かがみ）では左右（さゆう）が逆（ぎゃく）になる。,Nhìn vào gương sẽ thấy ngược trái phải.,"逆 (nghịch) - ngược lại, trái ngược. Bao gồm bộ 辶 (chuộc) chỉ sự di chuyển và bộ 屰 (nghịch) chỉ sự trái ngược. Ám chỉ việc đi theo hướng ngược lại với hướng bình thường.",逆効果（ぎゃくこうか）: tác dụng ngược、逆転（ぎゃくてん）: đảo ngược tình thế、逆方向（ぎゃくほうこう）: hướng ngược lại
他所,よそ,nơi khác,mimikaraoboeru,Danh từ,方言（ほうげん）はよその土地（とち）の人（ひと）には分（わ）かりにくい。,Tiếng địa phương đối với người nơi khác thì hơi khó hiểu.,"他 (tha) - khác, người khác; 所 (sở) - nơi, chỗ. Kết hợp lại: nơi khác không phải là nơi mình đang ở hoặc quen thuộc.",他所見（よそみ）: nhìn chỗ khác、他所行き（よそいき）: đi nơi khác、他所者（よそもの）: người ngoài
務まる,つとまる,"hợp, thích hợp cho, đảm đương được",mimikaraoboeru,Động từ nhóm 1,こんな難（むずか）しい役（やく）が私（わたし）に務（つと）まるだろうか。,Một nhiệm vụ khó khăn như thế mà liệu tôi có đảm đương được không?,"務 (vụ) - nhiệm vụ, công việc, gồm bộ sự (事) và bộ lực (力), thể hiện công sức trong công việc.",役目（やくめ）: vai trò、任務（にんむ）: nhiệm vụ、適任（てきにん）: người thích hợp
務める,つとめる,"phục vụ, làm, đảm nhận",mimikaraoboeru,Động từ nhóm 2,会社（かいしゃ）で議長（ぎちょう）を務（つと）めた。,Tôi đảm nhận vai trò chủ tọa tại công ty.,"務 (vụ) - nhiệm vụ, công việc, gồm bộ sự (事) và bộ lực (力), thể hiện công sức trong công việc.",勤務（きんむ）: sự làm việc、勤め先（つとめさき）: nơi làm việc、公務員（こうむいん）: công chức
取り消す,とりけす,"hủy, hủy bỏ, thu hồi",mimikaraoboeru,Động từ nhóm 1,仕事（しごと）が忙（いそが）しくなり、飛行機（ひこうき）の予約（よやく）を取（と）り消（け）した。,Công việc trở nên bận rộn nên tôi đã hủy vé máy bay.,"取 (thủ) - lấy, nắm, gồm bộ thủ (手) và nhĩ (耳); 消 (tiêu) - xóa, mất đi, gồm bộ thủy (水) và bộ thiểu (少).",取り消し（とりけし）: sự hủy bỏ、予約取り消し（よやくとりけし）: hủy đặt chỗ、キャンセル料（キャンセルりょう）: phí hủy
終える,おえる,"kết thúc, hoàn thành",mimikaraoboeru,Động từ nhóm 2,今日（きょう）は6時（じ）までに仕事（しごと）を終（お）えて退社（たいしゃ）するつもりだ。,Tôi dự định hôm nay hoàn thành công việc trước 6 giờ và rời công ty.,"終 (chung) - kết thúc, cuối cùng, gồm bộ ti (糸) và bộ trọng (重), ý nghĩa là kết thúc một công việc quan trọng.",終了（しゅうりょう）: kết thúc、完了（かんりょう）: hoàn thành、終わり（おわり）: sự kết thúc
呼びかける,よびかける,"gọi, kêu gọi",mimikaraoboeru,Động từ nhóm 2,意識（いしき）不明（ふめい）の母（はは）に呼（よ）び掛（か）けた。,Tôi gọi người mẹ đang bất tỉnh.,"呼 (hô) - gọi, kêu, gồm bộ khẩu (口) thể hiện miệng, âm thanh. Từ ghép 呼び + かける, trong đó かける có nghĩa là hướng về, nhằm vào.",呼びかけ（よびかけ）: lời kêu gọi、募金活動（ぼきんかつどう）: hoạt động quyên góp、声援（せいえん）: sự cổ vũ
呼び出す,よびだす,"triệu hồi, triệu tập, gọi ra",mimikaraoboeru,Động từ nhóm 1,学費（がくひ）を払（はら）っていなかったので、事務局（じむきょく）に呼（よ）び出（だ）された。,Vì không đóng học phí nên tôi bị gọi lên văn phòng.,"呼 (hô) - gọi, kêu, gồm bộ khẩu (口) thể hiện miệng, âm thanh; 出 (xuất) - ra, đi ra, gồm bộ sơn (山) và bộ tao (凵), thể hiện sự di chuyển ra ngoài.",呼び出し（よびだし）: sự triệu tập、緊急呼び出し（きんきゅうよびだし）: triệu tập khẩn cấp、ページャー（ページャー）: máy nhắn tin
普段,ふだん,"thường xuyên, đều đặn",mimikaraoboeru,Phó từ / Danh từ,普段（ふだん）は7時（じ）に起（お）きるが、今日（きょう）は寝坊（ねぼう）してしまった。,"Thông thường tôi ngủ dậy 7 giờ, nhưng hôm nay lại ngủ quên mất.","普 (phổ) - phổ biến, rộng rãi; 段 (đoạn) - bậc, cấp độ. Kết hợp lại: những điều diễn ra ở cấp độ phổ biến, thường xuyên.",普段着（ふだんぎ）: quần áo thường ngày、普段使い（ふだんづかい）: dùng hàng ngày
日常,にちじょう,"hàng ngày, thường nhật",mimikaraoboeru,Danh từ / Tính từ の,日常（にちじょう）の業務（ぎょうむ）を果（は）たす。,Hoàn thành nhiệm vụ hằng ngày.,"日 (nhật) - ngày; 常 (thường) - thường xuyên. Kết hợp lại: việc xảy ra thường ngày, hằng ngày.",日常生活（にちじょうせいかつ）: cuộc sống hằng ngày、日常茶飯事（にちじょうさはんじ）: chuyện thường ngày
一般,いっぱん,"thông thường, cái chung, phổ biến",mimikaraoboeru,Danh từ / Tính từ の,これは一般（いっぱん）の店（みせ）では手（て）に入（はい）らない薬（くすり）だ。,Đây là loại thuốc không thể mua được ở những cửa hàng thông thường.,"一 (nhất) - một, thống nhất; 般 (bàn) - loại, hạng. Kết hợp lại: một kiểu chung, áp dụng rộng rãi.",一般的（いっぱんてき）: thông thường、一般常識（いっぱんじょうしき）: kiến thức thông thường
権利,けんり,"quyền lợi, quyền hạn",mimikaraoboeru,Danh từ,すべての国民（こくみん）には健康的（けんこうてき）な生活（せいかつ）を送（おく）る権利（けんり）がある。,Tất cả công dân đều có quyền mưu cầu cuộc sống sức khỏe.,"権 (quyền) - quyền lực, thẩm quyền; 利 (lợi) - lợi ích, có lợi. Kết hợp lại: những quyền lợi được công nhận và bảo vệ.",著作権利（ちょさくけんり）: quyền tác giả、人権（じんけん）: nhân quyền
常識,じょうしき,"thường thức, kiến thức thông thường",mimikaraoboeru,Danh từ,ミスをしたらきちんと責任（せきにん）を取（と）るのが社会（しゃかい）人（じん）の常識（じょうしき）だ。,"Khi mắc lỗi, nghiêm chỉnh nhận trách nhiệm thì đó là một việc làm bình thường của con người trong xã hội này.","常 (thường) - thường xuyên, bình thường; 識 (thức) - hiểu biết, nhận thức. Kết hợp lại: những hiểu biết thông thường mà mọi người đều có.",常識的（じょうしきてき）: hợp lẽ thông thường、非常識（ひじょうしき）: phi thường thức
諺,ことわざ,"thành ngữ, tục ngữ",mimikaraoboeru,Danh từ,ことわざには教訓（きょうくん）が含（ふく）まれていることが多（おお）い。,Rất nhiều câu tục ngữ bao hàm cả những điều giáo huấn.,"諺 (ngạn) - bao gồm bộ 言 (ngôn - lời nói) và phần còn lại chỉ sự cổ xưa, truyền thống. Kết hợp lại: những lời nói truyền thống, tục ngữ.",日本のことわざ（にほんのことわざ）: tục ngữ Nhật Bản、外国のことわざ（がいこくのことわざ）: tục ngữ nước ngoài
義務,ぎむ,"nghĩa vụ, bổn phận",mimikaraoboeru,Danh từ,親（おや）には子（こ）どもに教育（きょういく）を受（う）けさせる義務（ぎむ）がある。,Cha mẹ có nghĩa vụ nuôi dạy con cái.,"義 (nghĩa) - nghĩa lý, đạo nghĩa; 務 (vụ) - công việc, việc làm. Kết hợp lại: công việc cần làm theo đạo lý hoặc luật pháp.",義務教育（ぎむきょういく）: giáo dục bắt buộc、法的義務（ほうてきぎむ）: nghĩa vụ pháp lý
切っ掛け,きっかけ,"cơ hội, dịp, cớ",mimikaraoboeru,Danh từ,喧嘩（けんか）のきっかけは、つまらないことだった。,Cãi nhau đó là một chuyện chán ngẩn.,"切 (thiết) - cắt, đứt; 掛 (quải) - treo, móc. Kết hợp lại: điểm khởi đầu mở ra một quá trình mới.",きっかけ作り（きっかけづくり）: tạo cơ hội、発端（ほったん）: khởi đầu
行動,こうどう,hành động,mimikaraoboeru,Danh từ / Động từ する,彼（かれ）の行動（こうどう）は、とても立派（りっぱ）だった。,Hành động của anh ấy lúc nào cũng rất tuyệt vời.,"行 (hành) - đi, làm; 動 (động) - chuyển động. Kết hợp lại: di chuyển và làm việc gì đó, hành động.",集団行動（しゅうだんこうどう）: hành động tập thể、行動力（こうどうりょく）: năng lực hành động
使用,しよう,sử dụng,mimikaraoboeru,Danh từ / Động từ する,今（いま）は、文章（ぶんしょう）の作成（さくせい）にはパソコンが使用（しよう）されることが多（おお）い。,"Bây giờ, máy tính được sử dụng nhiều trong việc xây dựng bài văn.","使 (sử) - sai, sử dụng; 用 (dụng) - dùng, ứng dụng. Kết hợp lại: việc dùng một thứ gì đó vào mục đích cụ thể.",使用料（しようりょう）: phí sử dụng、使用法（しようほう）: cách sử dụng
提出,ていしゅつ,"sự nộp, đệ trình",mimikaraoboeru,Danh từ / Động từ する,願書（がんしょ）の提出（ていしゅつ）は10月（がつ）31日（にち）までだ。,Hạn nộp hồ sơ nhập học là đến ngày 31 tháng 10.,"提 (đề) - nâng lên, đề xuất; 出 (xuất) - ra, đi ra. Kết hợp lại: đưa ra, trình lên cấp trên.",提出物（ていしゅつぶつ）: đồ nộp、提出期限（ていしゅつきげん）: hạn nộp
