word,reading,meaning,category,part_of_speech,example_sentence,example_translation,kanji_breakdown,synonyms
追いかける,おいかける,"chạy theo, đuổi theo",shinkanzen,động từ nhóm 2 (る),犯人(はんにん)を追(お)いかけたが、逃(に)げられてしまった。,Đuổi theo tội phạm nhưng đã chạy thoát mất.,"""Kanji """"追"""" (truy) mang ý nghĩa đuổi theo, bao gồm bộ """"辶"""" biểu thị sự di chuyển và """"⻌"""" là hình ảnh của chân di chuyển, thể hiện hành động đuổi theo, chạy theo một cách liên tục.""",追いかけっこ(おいかけっこ): trò đuổi bắt、追いかけ回す(おいかけまわす): đuổi theo liên tục、必死に追いかける(ひっしにおいかける): cố gắng đuổi theo
追いつく,おいつく,"đuổi kịp, theo kịp",shinkanzen,động từ nhóm 1 (godan),彼(かれ)は足(あし)が速(はや)いから、今(いま)から追(お)いかけても追(お)いつかないだろう。,"Anh ấy đi rất nhanh, giờ có đuổi theo cũng không đuổi kịp đâu.","""Kanji """"追"""" (truy) mang ý nghĩa đuổi theo như đã phân tích ở trên. Kanji """"着"""" trong """"つく"""" (mặc dù từ này viết bằng hiragana) có nghĩa là """"đến nơi"""", """"chạm đến"""". Kết hợp lại, từ mang ý nghĩa """"đuổi đến nơi"""" hay """"đuổi kịp"""".""",追いつき追い越せ(おいつきおいこせ): đuổi kịp và vượt qua、追いつき追われつ(おいつきおわれつ): đuổi kịp và bị đuổi theo、追いつくまで(おいつくまで): cho đến khi đuổi kịp
追い越す,おいこす,"vượt qua, vượt lên (chạy vượt)",shinkanzen,động từ nhóm 1 (godan),前(まえ)を走(はし)る選手(せんしゅ)に追(お)いついたが、追(お)い越(こ)すことはできなかった。,Đã đuổi kịp vận động viên chạy trước tôi nhưng không thể vượt qua được.,"""Kanji """"追"""" (truy) mang ý nghĩa đuổi theo. Kanji """"越"""" (việt/siêu) có ý nghĩa vượt qua, đi qua. Kết hợp lại, từ này mang ý nghĩa """"đuổi theo và vượt qua"""", thể hiện một hành động liên tục từ việc đuổi theo đến vượt lên trước.""",追い越し車線(おいこしせんせん): làn vượt、追い越し禁止(おいこしきんし): cấm vượt、追い越し追い抜き(おいこしおいぬき): vượt qua và đi trước
振り向く,ふりむく,"ngoảnh mặt, nhìn quanh, chú ý đến",shinkanzen,động từ nhóm 1 (godan),名前(なまえ)を呼(よ)ばれて、振(ふ)り向(む)いた。,"Ai đó gọi tên, tôi nhìn quanh xem ai.","""Kanji """"振"""" (chấn) có nghĩa là lắc, vẫy, rung động, thể hiện chuyển động. Kanji """"向"""" (hướng) mang ý nghĩa hướng về, quay về. Kết hợp lại, từ này diễn tả hành động quay người lại, nhìn về phía sau hoặc xung quanh.""",振り向かせる(ふりむかせる): làm ai đó chú ý、振り向き様(ふりむきざま): ngay khi quay lại、振り向きざま(ふりむきざま): khoảnh khắc quay đầu lại
捕る・採る・執る,とる,"bắt, lấy, nắm, tuyển dụng (tùy theo kanji sử dụng)",shinkanzen,động từ nhóm 1 (godan),公園(こうえん)でセミを捕(と)った。,Bắt ve ở công viên.,"""""""捕"""" (bộ) gồm bộ """"扌"""" (thủ) và """"甫"""" (phó) thể hiện hành động bắt, tóm; """"採"""" (thải) gồm bộ """"扌"""" (thủ) và """"木"""" (mộc) thể hiện hành động hái, lấy từ thiên nhiên; """"執"""" (chấp) gồm bộ """"扌"""" (thủ) và """"幸"""" (hạnh) thể hiện sự nắm giữ, kiên định.""",捕り方(とりかた): cách bắt、採り入れる(とりいれる): tiếp thu、執り行う(とりおこなう): tiến hành
取り上げる,とりあげる,"nhặt lên, lấy, chọn, nêu ra, đưa tin",shinkanzen,động từ nhóm 2 (る),彼女(かのじょ)は机(つくえ)の上(うえ)の本(ほん)を取(と)り上(あ)げた。,Cô ấy cầm quyển sách ở trên bàn.,"""""""取"""" (thủ) có nghĩa là lấy, cầm, nắm; """"上"""" (thượng) có nghĩa là trên, lên. Kết hợp lại thành """"取り上げる"""" có nghĩa là lấy lên, nâng lên để mọi người chú ý, thể hiện hành động đưa một vật từ vị trí thấp lên cao hoặc đưa một vấn đề ra ánh sáng.""",取り上げ記事(とりあげきじ): bài báo nêu bật、話題に取り上げる(わだいにとりあげる): nêu lên thành chủ đề、取り上げ方(とりあげかた): cách nêu vấn đề
取り入れる,とりいれる,"nhặt vào, cho vào, thu hoạch, tiếp thu",shinkanzen,động từ nhóm 2 (る),洗濯物(せんたくもの)を取(と)り入(い)れる。,Lấy đồ giặt vào.,"""""""取"""" (thủ) có nghĩa là lấy, cầm, nắm; """"入"""" (nhập) có nghĩa là vào, nhập. Kết hợp lại thành """"取り入れる"""" thể hiện hành động lấy một vật gì đó từ bên ngoài và đưa vào bên trong, từ đó mở rộng sang nghĩa tiếp thu ý tưởng hoặc thu hoạch mùa màng.""",取り入れ時期(とりいれじき): mùa thu hoạch、意見を取り入れる(いけんをとりいれる): tiếp thu ý kiến、新技術を取り入れる(しんぎじゅつをとりいれる): áp dụng công nghệ mới
削る,けずる,"cắt, chuốt, gọt, cắt giảm",shinkanzen,động từ nhóm 1 (godan),ナイフで鉛筆(えんぴつ)を削(けず)った。,Gọt bút chì bằng dao.,"""Kanji """"削"""" (tước) bao gồm bộ """"刂"""" (đao/đao) ở bên phải biểu thị dao, công cụ cắt và bộ """"肖"""" (tiếu) ở bên trái. Cấu trúc kanji này thể hiện hành động sử dụng dao để cắt, gọt, làm mỏng một vật.""",削り取る(けずりとる): cắt bỏ、削り落とす(けずりおとす): gọt rơi、鉛筆削り(えんぴつけずり): gọt bút chì
縛る,しばる,"buộc, thắt, trói, ràng buộc",shinkanzen,động từ nhóm 1 (godan),古(ふる)い雑誌(ざっし)を重(かさ)ねてひもで縛(しば)る。,Dùng dây buộc tạp chí cũ lại.,"""Kanji """"縛"""" (phược) bao gồm bộ """"糸"""" (mịch) ở bên trái biểu thị sợi dây, chỉ và bộ """"剥"""" (bác/bát) ở bên phải. Bộ """"糸"""" thể hiện rõ ý nghĩa của từ là liên quan đến việc sử dụng dây để buộc, trói.""",縛りつける(しばりつける): buộc chặt、縛り首(しばりくび): treo cổ、縛り上げる(しばりあげる): trói lại
絞る・搾る,しぼる,"vắt, bóp, siết chặt",shinkanzen,động từ nhóm 1 (godan),水(みず)に濡(ぬ)らしたタオルを絞(しぼ)る。,Vắt khăn bị ướt.,"""""""絞"""" (giảo) gồm bộ """"糸"""" (mịch) chỉ sợi dây, vải và bộ """"交"""" (giao) thể hiện sự đan xen, kết hợp - diễn tả hành động vặn vẹo, xoắn vải để lấy nước. """"搾"""" (trá) gồm bộ """"扌"""" (thủ) biểu thị tay và bộ """"窄"""" (trách) thể hiện sự hẹp, chật - diễn tả hành động dùng tay ép, bóp để lấy chất lỏng.""",絞り出す(しぼりだす): vắt ra、絞り込む(しぼりこむ): thu hẹp lại、搾り取る(しぼりとる): vắt lấy
回る,まわる,"xoay quanh, quay, đi vòng quanh",shinkanzen,động từ nhóm 1 (godan),地球(ちきゅう)は太陽(たいよう)の周(まわ)りを回(まわ)っている。,Trái đất quay quanh mặt trời.,"""Kanji """"回"""" (hồi) gồm bộ """"囗"""" (vi) biểu thị sự bao quanh và bộ """"口"""" (khẩu) ở bên trong. Hình dạng của kanji này gợi nhớ đến một vật đang quay trong một không gian, thể hiện ý nghĩa """"xoay quanh, quay vòng"""".""",回り道(まわりみち): đường vòng、回り込む(まわりこむ): đi vòng để đến、回り舞台(まわりぶたい): sân khấu quay
回す,まわす,"xoay, vặn, chuyển",shinkanzen,động từ nhóm 1 (godan),ドアの取(と)っ手(て)を回(まわ)して開(あ)ける。,Vặn tay nắm cửa thì cửa sẽ mở.,"""Kanji """"回"""" (hồi) như đã phân tích ở trên, biểu thị sự quay vòng. Sự khác biệt giữa """"回る"""" và """"回す"""" là ở tính chất tự động và tha động của động từ, thể hiện qua cách chia mà không phải qua kanji.""",回し飲み(まわしのみ): uống vòng tròn、回し蹴り(まわしげり): đá vòng、持ち回り(もちまわり): luân phiên
映る,うつる,"bị phản chiếu, được chiếu, hiện lên (trong gương/nước), được phát (trên TV)",shinkanzen,động từ tự động từ nhóm 1 (godan),鏡(かがみ)には左右(さゆう)が逆(ぎゃく)に映(うつ)る。,Gương phản chiếu hình ảnh ngược trái phải.,"""Kanji 映 gồm bộ nhật (日) và bộ dụng (央) - ánh sáng chiếu vào vật thể và phản chiếu. Kanji này mang ý nghĩa của sự chiếu sáng, phản ánh, điều này trực tiếp liên quan đến nghĩa của từ 映る là """"bị phản chiếu"""".""",映り(うつり): sự phản chiếu、目に映る(めにうつる): hiện lên trong mắt、よく映る(よくうつる): phản chiếu rõ
映す,うつす,"chiếu, phản chiếu, phản ánh",shinkanzen,động từ tha động từ nhóm 1 (godan),全身(ぜんしん)を映(うつ)せる鏡(かがみ)が欲(ほ)しい。,Tôi muốn có chiếc gương chiếu toàn bộ thân hình.,"Kanji 映 gồm bộ nhật (日) và bộ dụng (央) - hàm ý việc tạo ra ánh sáng hoặc hình ảnh từ một nguồn (như máy chiếu) và chiếu lên một bề mặt khác. Kanji này phản ánh trực tiếp hành động chủ động của việc chiếu, phản chiếu.",映し出す(うつしだす): chiếu ra、反映する(はんえいする): phản ánh、投影する(とうえいする): chiếu lên
漬かる,つかる,"ngập, chìm trong, đắm mình trong",shinkanzen,động từ tự động từ nhóm 1 (godan),大雨(おおあめ)で家(いえ)の床(ゆか)まで水(みず)につかった。,Do mưa lớn nên nước ngập cả sàn nhà.,"Kanji 漬 gồm bộ thủy (氵) và chữ 直 (trực, thẳng) - hàm ý một vật thẳng đứng bị ngập trong nước. Bộ thủy liên quan trực tiếp đến ý nghĩa chính của từ là ngập, ngâm trong chất lỏng.",水に漬かる(みずにつかる): ngập trong nước、どっぷり漬かる(どっぷりつかる): đắm mình hoàn toàn、漬かり過ぎる(つかりすぎる): ngâm quá lâu
漬ける,つける,"ngâm, nhúng, tẩm",shinkanzen,động từ tha động từ nhóm 2 (ichidan),汚(よご)れが落(お)ちにくいときは、洗剤(せんざい)の液(えき)にしばらく付(つ)けておくとよい。,Khi vết bẩn khó giặt thì nên chấm dung dịch bột giặt lên một lúc.,"Kanji 漬 gồm bộ thủy (氵) và chữ 直 (trực, thẳng) - hình ảnh của việc chủ động đặt một vật thẳng đứng vào trong chất lỏng. Bộ thủy liên quan trực tiếp đến ý nghĩa ngâm, tẩm trong chất lỏng.",漬け物(つけもの): đồ muối chua、醤油漬け(しょうゆづけ): ngâm tương、酢漬け(すづけ): ngâm giấm
浮かぶ,うかぶ,"nổi lên, trôi nổi, hiện lên (trong tâm trí)",shinkanzen,động từ tự động từ nhóm 1 (godan),池(いけ)にボートが浮(う)かんでいる。,Quả bóng nổi trên mặt hồ.,"""Kanji 浮 gồm bộ thủy (氵) và phần 孚 - chỉ một vật nhẹ nổi trên mặt nước. Cấu trúc kanji phản ánh trực tiếp ý nghĩa """"nổi lên"""" của từ 浮かぶ, với bộ thủy biểu thị môi trường nước và phần còn lại ám chỉ vật nhẹ nổi lên.""","浮かび上がる(うかびあがる): nổi lên, hiện lên、頭に浮かぶ(あたまにうかぶ): hiện lên trong đầu、水面に浮かぶ(すいめんにうかぶ): nổi trên mặt nước"
浮かべる,うかべる,"cho nổi, thả trôi, làm hiện lên",shinkanzen,động từ tha động từ nhóm 2 (ichidan),池(いけ)におもちゃのボートを浮(う)かべて遊(あそ)んだ。,Làm nổi quả bóng trên mặt nước và chơi.,"Kanji 浮 gồm bộ thủy (氵) và phần 孚 - hàm ý một vật được đặt lên mặt nước và nổi lên. Cấu trúc kanji phản ánh hành động chủ động đưa một vật lên mặt nước và làm cho nó nổi, trực tiếp liên quan đến ý nghĩa của 浮かべる.","思い浮かべる(おもいうかべる): hình dung, tưởng tượng、笑みを浮かべる(えみをうかべる): nở nụ cười、涙を浮かべる(なみだをうかべる): rơm rớm nước mắt"
浮く,うく,"nổi, lơ lửng, dư ra",shinkanzen,động từ tự động từ nhóm 1 (godan),一(いち)円(えん)玉(だま)は水(みず)に浮(う)く。,Đồng tiền 1 yên nổi trên mặt nước.,Kanji 浮 gồm bộ thủy (氵) và phần 孚 - biểu thị một vật tự nhiên nổi lên trên mặt nước. Bộ thủy trực tiếp liên quan đến ý nghĩa chính của từ là nổi trên chất lỏng.,浮き上がる(うきあがる): nổi lên、浮き彫り(うきぼり): nổi bật、気が浮く(きがうく): tâm trí không tập trung
潜る,もぐる,"lặn, chìm xuống, chui vào",shinkanzen,động từ tự động từ nhóm 1 (godan),日本(にほん)の「海女(あま)」は長時間(ちょうじかん)海(うみ)に潜(もぐ)って貝(かい)や魚(さかな)を取(と)ることができる。,"Những nữ thợ lặn Nhật Bản, lặn hàng giờ dưới biển và có thể bắt cá và sò.","Kanji 潜 gồm bộ thủy (氵) và chữ 替 (thay thế) - biểu thị việc chuyển từ môi trường này sang môi trường khác, đặc biệt là từ không khí sang nước. Bộ thủy trực tiếp liên quan đến ý nghĩa chính của từ là lặn xuống nước.","潜り込む(もぐりこむ): chui vào, lẻn vào、潜水(せんすい): lặn nước、地下に潜る(ちかにもぐる): ẩn náu"
跳ねる,はねる,"nhảy, bắn, tóe",shinkanzen,động từ tự động từ nhóm 2 (ichidan),カエルは地面(じめん)から大(おお)きく跳(は)ねて、草(くさ)の中(なか)へ消(き)えた。,Con ếch nhảy những bước nhảy lớn từ mặt đất lẩn vào trong cỏ và biến mất.,"Kanji 跳 gồm bộ túc (足) và chữ 兆 (triệu) - biểu thị hành động nhảy lên cao, mạnh mẽ bằng đôi chân. Bộ túc trực tiếp liên quan đến ý nghĩa nhảy, trong khi 兆 gợi ý về sự mạnh mẽ, đột ngột của hành động.","跳ね返る(はねかえる): bật lại, dội lại、跳ね上がる(はねあがる): vọt lên、飛び跳ねる(とびはねる): nhảy lên nhảy xuống"
背負う,せおう,"mang vác, gánh vác, chịu đựng",shinkanzen,động từ tha động từ nhóm 1 (godan),背中(せなか)にリュックを背負(せお)う。,Mang hành lí trên vai.,"Kanji 背 (lưng) và 負 (gánh vác) kết hợp tạo thành một từ mô tả hành động mang vật gì đó trên lưng. Kanji 背 có hình ảnh của một người quay lưng lại, trong khi 負 có ý nghĩa gánh vác, chịu đựng - tạo nên ý nghĩa tổng thể của từ.",責任を背負う(せきにんをせおう): gánh vác trách nhiệm、罪を背負う(つみをせおう): mang tội、使命を背負う(しめいをせおう): gánh vác sứ mệnh
追う,おう,"đuổi, đuổi theo, theo sau, theo đuổi",shinkanzen,động từ tha động từ nhóm 1 (godan),子供(こども)は走(はし)って母親(ははおや)の後(あと)を追(お)った。,Đứa trẻ chạy đuổi theo sau lưng mẹ.,"Kanji 追 gồm bộ xước (辶) biểu thị sự di chuyển và phần 㕣 phía trên - hàm ý hành động đi theo, đuổi theo đối tượng nào đó. Bộ xước trực tiếp liên quan đến ý nghĩa chính của từ là đuổi theo, theo đuổi.",追いかける(おいかける): đuổi theo、追い出す(おいだす): đuổi ra ngoài、追い抜く(おいぬく): vượt qua
改善,かいぜん,"cải thiện, cải cách, sửa đổi để tốt hơn",shinkanzen,"danh từ, động từ",組合（くみあい）は待遇（たいぐう）の改善（かいぜん）を求（もと）めてストを行（おこな）った。,Các tổ chức công đoàn đã tổ chức những cuộc biểu tình đòi cải thiện chế độ đãi ngộ.,"""改 có nghĩa là """"thay đổi, sửa đổi"""", 善 có nghĩa là """"tốt, thiện"""". Kết hợp lại thành """"thay đổi để tốt hơn"""" phản ánh đúng ý nghĩa của từ """"cải thiện"""".""",環境改善（かんきょうかいぜん）: cải thiện môi trường、品質改善（ひんしつかいぜん）: cải thiện chất lượng、業績改善（ぎょうせきかいぜん）: cải thiện hiệu suất
改良,かいりょう,"cải tiến, cải thiện, nâng cấp chất lượng",shinkanzen,"danh từ, động từ",その製品（せいひん）は改良（かいりょう）を重（かさ）ねることで、一層（いっそう）使（つか）いやすくなった。,Sản phẩm này bao gồm những cải tiến nên đã dễ dàng sử dụng hơn rất nhiều.,"""改 có nghĩa là """"thay đổi, sửa đổi"""" và 良 có nghĩa là """"tốt, chất lượng"""". Sự kết hợp của hai kanji này tạo nên ý nghĩa """"cải tiến, nâng cao chất lượng"""" - phản ánh đúng bản chất của từ.""",品種改良（ひんしゅかいりょう）: cải tiến giống loài、技術改良（ぎじゅつかいりょう）: cải tiến kỹ thuật、改良版（かいりょうばん）: phiên bản cải tiến
改革,かいかく,"cải cách, đổi mới toàn diện",shinkanzen,"danh từ, động từ",古（ふる）い制度（せいど）を改革（かいかく）しなければ、この国（くに）の発展（はってん）は望（のぞ）めない。,Nếu không cải cách chế độ cũ thì không mong sự phát triển ở đất nước này.,"""改 có nghĩa là """"thay đổi, sửa đổi"""", 革 có nghĩa là """"da thuộc, thay đổi cơ bản"""". Sự kết hợp này tạo nên ý nghĩa """"cải cách"""" - sự thay đổi cơ bản, toàn diện một hệ thống.""",税制改革（ぜいせいかいかく）: cải cách thuế、教育改革（きょういくかいかく）: cải cách giáo dục、農地改革（のうちかいかく）: cải cách ruộng đất
改正,かいせい,"sửa đổi, chỉnh sửa, điều chỉnh (luật, quy định)",shinkanzen,"danh từ, động từ",4月（がつ）から新幹線（しんかんせん）のダイヤが改正（かいせい）されるそうだ。,Nghe nói từ tháng 4 bảng giờ tàu shinkansen sẽ được thay đổi.,"""改 có nghĩa là """"thay đổi, sửa đổi"""", 正 có nghĩa là """"đúng, chính xác"""". Kết hợp lại thành """"sửa đổi cho đúng"""" - phản ánh bản chất của việc điều chỉnh văn bản pháp luật, quy định để phù hợp hơn.""",法律改正（ほうりつかいせい）: sửa đổi luật pháp、憲法改正（けんぽうかいせい）: sửa đổi hiến pháp、改正案（かいせいあん）: dự thảo sửa đổi
改定,かいてい,"hiệu chỉnh, điều chỉnh (giá cả, thuế suất, mức lương)",shinkanzen,"danh từ, động từ",来年（らいねん）から消費税（しょうひぜい）率（りつ）が改定（かいてい）されることになった。,Từ năm sau sẽ điều chỉnh thuế tiêu thụ.,"""改 có nghĩa là """"thay đổi, sửa đổi"""", 定 có nghĩa là """"định, quyết định, xác định"""". Kết hợp lại thành """"thay đổi những gì đã được định trước"""" - phản ánh đúng bản chất của việc điều chỉnh giá cả, lương, thuế suất.""",料金改定（りょうきんかいてい）: điều chỉnh phí、賃金改定（ちんぎんかいてい）: điều chỉnh lương、価格改定（かかくかいてい）: điều chỉnh giá
改修,かいしゅう,"sửa chữa, cải tạo, nâng cấp (công trình, cơ sở vật chất)",shinkanzen,"danh từ, động từ",アパートが古（ふる）くなったので、大規模（だいきぼ）な改修（かいしゅう）が行（おこな）われることになった。,Căn nhà đã cũ nên quyết định tổ chức cải tạo với quy mô lớn.,"""改 có nghĩa là """"thay đổi, sửa đổi"""", 修 có nghĩa là """"sửa chữa, tu bổ"""". Kết hợp lại thành """"thay đổi bằng cách sửa chữa"""" - phản ánh chính xác bản chất của việc cải tạo, nâng cấp công trình.""",改修工事（かいしゅうこうじ）: công trình sửa chữa、大規模改修（だいきぼかいしゅう）: sửa chữa quy mô lớn、河川改修（かせんかいしゅう）: cải tạo sông ngòi
一致,いっち,"nhất trí, đồng nhất, trùng khớp, giống nhau",shinkanzen,"danh từ, động từ thể する",二人（ふたり）の意見（いけん）が一致（いっち）した。,Thống nhất ý kiến hai người với nhau.,"""一 có nghĩa là """"một"""", 致 có nghĩa là """"đạt tới, hướng tới"""". Kết hợp lại thành """"đạt tới một điểm chung"""" - phản ánh ý nghĩa của sự nhất trí, đồng nhất.""",意見一致（いけんいっち）: nhất trí ý kiến、満場一致（まんじょういっち）: nhất trí toàn thể、見解一致（けんかいいっち）: quan điểm đồng nhất
一方,いっぽう,"một phía, một bên, mặt khác, đơn phương",shinkanzen,"danh từ, phó từ, liên từ",飛行機（ひこうき）の中（なか）で乗客（じょうきゃく）が一方（いっぽう）に片寄（かたよ）ると危（あぶ）ない。,"Trong máy bay, hành khách dồn về một phía sẽ rất nguy hiểm.","""一 có nghĩa là """"một"""", 方 có nghĩa là """"phương, hướng, bên"""". Kết hợp lại thành """"một phương, một bên"""" - phản ánh đúng nghĩa của từ.""","一方通行（いっぽうつうこう）: đường một chiều、一方的（いっぽうてき）: đơn phương、一方面（いっぽうめん）: một mặt, một khía cạnh"
一定,いってい,"nhất định, cố định, không thay đổi, chắc chắn",shinkanzen,"danh từ, tính từ",倉庫（そうこ）の中（なか）は一定（いってい）の温度（おんど）を保（たも）たれている。,Trong kho đang bảo quản một nhiệt độ nhất định.,"""一 có nghĩa là """"một"""", 定 có nghĩa là """"xác định, ổn định"""". Kết hợp lại thành """"một mức xác định, ổn định"""" - phản ánh đúng ý nghĩa của từ """"nhất định, cố định"""".""",一定期間（いっていきかん）: khoảng thời gian nhất định、一定条件（いっていじょうけん）: điều kiện nhất định、一定水準（いっていすいじゅん）: mức độ nhất định
一人前,いちにんまえ,"người lớn, người trưởng thành, có khả năng tự lập, một phần ăn đầy đủ",shinkanzen,danh từ,経済的（けいざいてき）に親（おや）から独立（どくりつ）しなければ、一人前（いちにんまえ）とは言（い）えないだろう。,Nếu không độc lập kinh tế khỏi bố mẹ thì không thể nói là người lớn được.,"""一 có nghĩa là """"một"""", 人 có nghĩa là """"người"""", 前 có nghĩa là """"trước, đủ"""". Kết hợp lại thành """"một người đầy đủ"""" - phản ánh ý nghĩa của người đã trưởng thành, có đầy đủ khả năng, hoặc một phần ăn đầy đủ cho một người.""",一人前以上（いちにんまえいじょう）: hơn mức trưởng thành、職人一人前（しょくにんいちにんまえ）: thợ lành nghề、料理一人前（りょうりいちにんまえ）: một phần ăn đầy đủ
一流,いちりゅう,"hạng nhất, bậc nhất, hàng đầu, cao cấp",shinkanzen,"danh từ, tính từ",彼（かれ）がまだ若（わか）いが、コックとしての腕（うで）は一流（いちりゅう）だ。,Anh ấy vẫn còn trẻ nhưng tay nghề nấu ăn thì bậc nhất.,"""一 có nghĩa là """"một, nhất"""", 流 có nghĩa là """"dòng chảy, trường phái"""". Kết hợp lại thành """"dòng hạng nhất"""" - phản ánh ý nghĩa của sự xuất sắc, đẳng cấp cao nhất.""",一流ホテル（いちりゅうホテル）: khách sạn hạng nhất、一流企業（いちりゅうきぎょう）: công ty hàng đầu、一流品（いちりゅうひん）: sản phẩm cao cấp
開発,かいはつ,"sự phát triển, sự khai thác, sự phát minh",shinkanzen,danh từ,新製品の開発には3年の歳月がかかった。,Việc phát triển sản phẩm mới đã tốn 3 năm thời gian.,"""Kanji """"開"""" (kai) có nghĩa là """"mở ra"""" thường liên quan đến việc bắt đầu hoặc mở ra một cái gì đó. Kanji """"発"""" (hatsu) có nghĩa là """"phát ra, xuất phát"""". Kết hợp lại, """"開発"""" mang ý nghĩa """"mở ra và phát triển"""" một cái gì đó mới, phù hợp với nghĩa """"phát triển, khai thác"""".""",技術開発(ぎじゅつかいはつ): phát triển kỹ thuật、商品開発(しょうひんかいはつ): phát triển sản phẩm、研究開発(けんきゅうかいはつ): nghiên cứu và phát triển (R&amp;D)、資源開発(しげんかいはつ): khai thác tài nguyên
増大,ぞうだい,"sự mở rộng, sự tăng thêm, sự khuyếch trương",shinkanzen,danh từ,人口の増大に伴い、住宅問題が深刻化している。,"Cùng với sự gia tăng dân số, vấn đề nhà ở đang trở nên nghiêm trọng.","""Kanji """"増"""" (zou) có nghĩa là """"tăng thêm, gia tăng"""". Kanji """"大"""" (dai) có nghĩa là """"lớn, to"""". Kết hợp lại, """"増大"""" mang ý nghĩa """"tăng lên và trở nên lớn hơn"""", phù hợp với nghĩa """"sự mở rộng, sự tăng thêm"""".""",規模増大(きぼぞうだい): tăng quy mô、需要増大(じゅようぞうだい): tăng nhu cầu、リスク増大(りすくぞうだい): tăng rủi ro
増量,ぞうりょう,"sự tăng số lượng, sự tăng cân",shinkanzen,danh từ,このシャンプーは20%増量して価格はそのままです。,Loại dầu gội này đã tăng thêm 20% lượng sản phẩm nhưng giá vẫn giữ nguyên.,"""Kanji """"増"""" (zou) có nghĩa là """"tăng thêm, gia tăng"""". Kanji """"量"""" (ryou) có nghĩa là """"số lượng, lượng"""". Kết hợp lại, """"増量"""" mang ý nghĩa """"tăng thêm số lượng"""", phù hợp với nghĩa """"sự tăng số lượng, sự tăng cân"""".""",増量キャンペーン(ぞうりょうきゃんぺーん): chiến dịch tăng lượng sản phẩm、増量パック(ぞうりょうぱっく): gói tăng lượng
増税,ぞうぜい,sự tăng thuế,shinkanzen,danh từ,政府は来年から消費税の増税を実施する予定だ。,Chính phủ dự định thực hiện tăng thuế tiêu dùng từ năm sau.,"""Kanji """"増"""" (zou) có nghĩa là """"tăng thêm, gia tăng"""". Kanji """"税"""" (zei) có nghĩa là """"thuế"""". Kết hợp lại, """"増税"""" mang ý nghĩa """"tăng thêm thuế"""", phù hợp với nghĩa """"sự tăng thuế"""".""",消費税増税(しょうひぜいぞうぜい): tăng thuế tiêu dùng、増税政策(ぞうぜいせいさく): chính sách tăng thuế、法人税増税(ほうじんぜいぞうぜい): tăng thuế doanh nghiệp
増員,ぞういん,tăng thêm số (của) nhân sự,shinkanzen,danh từ,業務拡大に伴い、営業部の増員が決定された。,"Cùng với việc mở rộng kinh doanh, việc tăng cường nhân sự cho bộ phận kinh doanh đã được quyết định.","""Kanji """"増"""" (zou) có nghĩa là """"tăng thêm, gia tăng"""". Kanji """"員"""" (in) có nghĩa là """"thành viên, nhân viên"""". Kết hợp lại, """"増員"""" mang ý nghĩa """"tăng thêm nhân viên"""", phù hợp với nghĩa """"tăng thêm số (của) nhân sự"""".""",大幅増員(おおはばぞういん): tăng nhân sự đáng kể、増員計画(ぞういんけいかく): kế hoạch tăng nhân sự
減点,げんてん,"sự giảm trừ, sự giảm điểm",shinkanzen,danh từ,答案の書き方が不適切だったため、10点の減点となった。,Do cách viết bài không đúng quy cách nên đã bị trừ 10 điểm.,"""Kanji """"減"""" (gen) có nghĩa là """"giảm, trừ"""". Kanji """"点"""" (ten) có nghĩa là """"điểm"""". Kết hợp lại, """"減点"""" mang ý nghĩa """"giảm điểm"""", phù hợp với nghĩa """"sự giảm trừ, sự giảm điểm"""".""",減点対象(げんてんたいしょう): đối tượng bị trừ điểm、減点方式(げんてんほうしき): phương thức trừ điểm
減退,げんたい,"giảm thiểu, suy giảm",shinkanzen,danh từ,高齢化に伴い、記憶力の減退が見られる。,"Cùng với việc già đi, có thể thấy sự suy giảm của trí nhớ.","""Kanji """"減"""" (gen) có nghĩa là """"giảm, trừ"""". Kanji """"退"""" (tai) có nghĩa là """"lùi, rút lui"""". Kết hợp lại, """"減退"""" mang ý nghĩa """"giảm xuống và lùi lại"""", phù hợp với nghĩa """"giảm thiểu, suy giảm"""".""",体力減退(たいりょくげんたい): suy giảm thể lực、意欲減退(いよくげんたい): suy giảm động lực、食欲減退(しょくよくげんたい): suy giảm cảm giác thèm ăn
減量,げんりょう,"giảm trọng lượng, tụt cân",shinkanzen,danh từ,ボクサーは試合前に厳しい減量を強いられる。,Các võ sĩ quyền anh buộc phải giảm cân nghiêm ngặt trước trận đấu.,"""Kanji """"減"""" (gen) có nghĩa là """"giảm, trừ"""". Kanji """"量"""" (ryou) có nghĩa là """"số lượng, lượng"""". Kết hợp lại, """"減量"""" mang ý nghĩa """"giảm số lượng"""", phù hợp với nghĩa """"giảm trọng lượng, tụt cân"""".""",減量目標(げんりょうもくひょう): mục tiêu giảm cân、減量方法(げんりょうほうほう): phương pháp giảm cân、急激な減量(きゅうげきなげんりょう): giảm cân đột ngột
